type,open_time,close_time,entry_price,close_price,balance_before,balance_after,profit,profit_percent,fee_paid,duration_days,duration_hours,duration_minutes
LONG,2025-02-13 22:30:00.000000 ,2025-02-14 02:30:00.000000 ,96474.0,96682.01,946.83,948.4,1.57,0.17,0.4744,0,4,0
LONG,2025-02-14 18:45:00.000000 ,2025-02-15 04:00:00.000000 ,98309.76,97653.19,948.4,941.6,-6.81,-0.72,0.471,0,9,15
SHORT,2025-02-16 14:30:00.000000 ,2025-02-17 13:00:00.000000 ,96825.93,96457.75,941.6,944.7,3.11,0.33,0.4726,0,22,30
SHORT,2025-02-17 18:00:00.000000 ,2025-02-18 01:15:00.000000 ,95479.78,95976.18,944.7,939.32,-5.38,-0.57,0.4699,0,7,15
SHORT,2025-02-18 07:45:00.000000 ,2025-02-18 13:15:00.000000 ,95475.24,96350.0,939.32,930.25,-9.07,-0.97,0.4654,0,5,30
SHORT,2025-02-18 17:45:00.000000 ,2025-02-19 00:00:00.000000 ,94258.86,95671.74,930.25,915.85,-14.4,-1.55,0.4582,0,6,15
LONG,2025-02-19 23:45:00.000000 ,2025-02-21 04:00:00.000000 ,96678.93,98141.99,915.85,929.24,13.39,1.46,0.4649,1,4,15
LONG,2025-02-21 13:00:00.000000 ,2025-02-21 17:30:00.000000 ,98903.99,97911.98,929.24,919.46,-9.78,-1.05,0.46,0,4,30
SHORT,2025-02-22 02:45:00.000000 ,2025-02-22 04:00:00.000000 ,96431.64,96299.08,919.46,920.27,0.8,0.09,0.4604,0,1,15
SHORT,2025-02-23 13:15:00.000000 ,2025-02-23 22:45:00.000000 ,95850.71,95840.51,920.27,919.9,-0.36,-0.04,0.4602,0,9,30
SHORT,2025-02-24 06:00:00.000000 ,2025-02-24 12:30:00.000000 ,95727.39,95831.99,919.9,918.44,-1.46,-0.16,0.4594,0,6,30
SHORT,2025-02-24 15:45:00.000000 ,2025-02-25 22:30:00.000000 ,94100.0,88841.58,918.44,969.28,50.84,5.54,0.4849,1,6,45
SHORT,2025-02-27 22:30:00.000000 ,2025-02-28 12:45:00.000000 ,84042.01,80187.43,969.28,1013.23,43.95,4.53,0.5069,0,14,15
LONG,2025-03-02 16:30:00.000000 ,2025-03-03 03:30:00.000000 ,88960.01,92718.01,1013.23,1055.5,42.27,4.17,0.528,0,11,0
SHORT,2025-03-05 05:45:00.000000 ,2025-03-05 08:45:00.000000 ,86962.0,87876.68,1055.5,1043.88,-11.62,-1.1,0.5222,0,3,0
LONG,2025-03-05 13:15:00.000000 ,2025-03-06 10:15:00.000000 ,89720.9,91000.0,1043.88,1058.23,14.35,1.37,0.5294,0,21,0
LONG,2025-03-07 00:00:00.000000 ,2025-03-07 01:00:00.000000 ,89931.88,85529.23,1058.23,1005.92,-52.31,-4.94,0.5032,0,1,0
